response,plane,time
arrest,sagittal,0.080146922
arrest,sagittal,0.020460825
arrest,sagittal,0.178049085
arrest,sagittal,0.262636912
arrest,sagittal,0.252520643
arrest,tentacular,0.650137398
arrest,tentacular,2.163265848
arrest,tentacular,2.07832145
arrest,tentacular,1.812519026
arrest,tentacular,1.927086641
re-beat,sagittal,0.555541556
re-beat,sagittal,0.156586702
re-beat,sagittal,0.02361729
re-beat,sagittal,0.457237298
re-beat,sagittal,0.1724621
re-beat,tentacular,0.05152441
re-beat,tentacular,0.178350515
re-beat,tentacular,0.319767442
re-beat,tentacular,0.29197329
re-beat,tentacular,0.293376247
